35.714,252.41
37.429,277.73
36.143,266.36
36.714,266.13
42.286,308.35
40.143,303.76
34.429,227.46
36.857,329.92
37,268.49
37,296
37,253.23
35.143,263.67
41,419.91
35,267.12
33.286,172.06
35.143,274.15
35,221.65
34,215.68
36.714,280.97
34.857,231.97
45.143,395.03
45.143,369.38
34.714,243.35
40.429,383.89
37.286,287.6
40,351.39
36.857,322.83
36.857,335.82
34.857,246.86
41.286,330.47
37,308.63
37.143,286.99
36.714,265.54
36.714,269.6
37.571,325.1
35,254.59
43,430.68
35.143,243.52
39.857,321.85
36.857,264.67
41.143,422.28
36.857,299.02
36.857,240.28
41.286,433.98
32.143,199.39
41.286,426.71
32.286,200.38
34,231.64
34,223.65
39.857,351.67
32.714,191.89
41,362.34
32.714,179.71
43.571,415.6
35.571,282.31
42.714,460.72
38.143,215
38.143,284.21
34.714,257.23
35.429,267.33
39.714,361.19
35.714,280.65
40,392.42
29.857,128.16
38.429,260.32
35.714,245.19
40.143,361.29
36.429,313.79
39.714,419.37
35.571,219.04
42,374.51
35.571,225.07
36.857,276.6
39.571,349.79
36.857,286.36
39.571,352.89
37.143,300.58
34,271.46
37.429,296.74
35.714,244.39
38.429,310.77
36.714,280.33
36.714,286.03
36.286,223.28
42.857,355.15
32.714,144.41
42.857,301.25
33.571,198.82
40.857,356.72
32.429,158.68
41.714,332.08
33.286,198.53
42.286,415.34
33.286,185.33
42.286,399.85
29.286,125.24
35.286,219.63
35.429,241.44
41.429,390.33
36.143,313.78
35.286,213.58
44.286,398.78
44.286,384.13
35.857,181.03
42.143,301.71
32.571,227.53
32.571,185.37
34.571,261.94
34.143,255.12
41.286,415.95
34.143,220.8
40.143,365.05
29.857,131.89
32.143,177.5
43.143,401.18
37,299.13
34.143,221.13
42,402.26
31.571,123.66
41.143,337.92
35.286,274.07
43.143,436.9
29,111.92
36.143,281.92
44.143,447.23
29.857,153.76
40.857,370.54
30.857,158.6
39,322.07
30,103.42
38.429,224.73
36.571,255.39
30,187.09
31,130.2
41.571,330.29
33.429,193.64
39.714,330.19
35,247.59
40,343.7
27.286,95.172
43.857,324.52
39.571,336.86
44.143,406.98
44.143,422.06
33.714,221.45
41.571,396.99
26.571,96.333
31.429,194.58
39.286,362.89
33.714,185.86
29.286,139.35
30.429,149.71
39.429,332.77
38.286,327.1
38.286,316.5
32.857,207.28
35.714,260.97
35.714,255.51
43,392.52
40.857,344.04
34.857,196.4
34.429,232.43
40.429,428.26
35.429,307.99
